Bus Hound 6.01 capture on Windows Vista Service Pack 1 (x86). Complements of www.perisoft.net

108

  Device - Device ID (followed by the endpoint for USB devices)
            (24) USB2.0-MIDI
  Phase  - Phase Type
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Descr  - Description of the phase
  Cmd... - Position in the captured data


Device  Phase  Data                                                Description       Cmd.Phase.Ofs(rep)
  24.2  OUT    19 91 40 00                                         ..@.                   305.1.0        
  24.2  OUT    19 90 4b 6e                                         ..Kn                   306.1.0        
  24.2  OUT    19 91 42 68                                         ..Bh                   307.1.0        
  24.2  OUT    19 91 3f 68                                         ..?h                   308.1.0        
  24.2  OUT    19 91 4b 6e                                         ..Kn                   309.1.0        
  24.2  OUT    19 90 4b 00                                         ..K.                   310.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   311.1.0        
  24.2  OUT    19 92 4e 00                                         ..N.                   312.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   313.1.0        
  24.2  OUT    19 91 4b 00                                         ..K.                   314.1.0        
  24.2  OUT    19 90 31 6e                                         ..1n                   315.1.0        
  24.2  OUT    19 91 3d 7f                                         ..=.                   316.1.0        
  24.2  OUT    19 92 50 6e                                         ..Pn                   317.1.0        
  24.2  OUT    19 90 31 00                                         ..1.                   318.1.0        
  24.2  OUT    19 90 38 5f                                         ..8_                   319.1.0        
  24.2  OUT    19 90 38 00                                         ..8.                   320.1.0        
  24.2  OUT    19 91 3d 00                                         ..=.                   321.1.0        
  24.2  OUT    19 92 50 00                                         ..P.                   322.1.0        
  24.2  OUT    19 90 49 64                                         ..Id                   323.1.0        
  24.2  OUT    19 90 44 7f                                         ..D.                   324.1.0        
  24.2  OUT    19 91 3f 6e                                         ..?n                   325.1.0        
  24.2  OUT    19 92 4c 7a                                         ..Lz                   326.1.0        
  24.2  OUT    19 90 44 00                                         ..D.                   327.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   328.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   329.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   330.1.0        
  24.2  OUT    19 90 38 64                                         ..8d                   331.1.0        
  24.2  OUT    19 91 40 71                                         ..@q                   332.1.0        
  24.2  OUT    19 92 49 6e                                         ..In                   333.1.0        
  24.2  OUT    19 90 38 00                                         ..8.                   334.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   335.1.0        
  24.2  OUT    19 92 50 6e                                         ..Pn                   336.1.0        
  24.2  OUT    19 90 38 64                                         ..8d                   337.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   338.1.0        
  24.2  OUT    19 90 38 00                                         ..8.                   339.1.0        
  24.2  OUT    19 92 50 00                                         ..P.                   340.1.0        
  24.2  OUT    19 90 49 64                                         ..Id                   341.1.0        
  24.2  OUT    19 90 44 6e                                         ..Dn                   342.1.0        
  24.2  OUT    19 91 3f 68                                         ..?h                   343.1.0        
  24.2  OUT    19 92 4c 7a                                         ..Lz                   344.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   345.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   346.1.0        
  24.2  OUT    19 90 44 00                                         ..D.                   347.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   348.1.0        
  24.2  OUT    19 90 2f 5f                                         ../_                   349.1.0        
  24.2  OUT    19 91 40 6c                                         ..@l                   350.1.0        
  24.2  OUT    19 92 49 7f                                         ..I.                   351.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   352.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   353.1.0        
  24.2  OUT    19 90 2f 00                                         ../.                   354.1.0        
  24.2  OUT    19 90 2d 7f                                         ..-.                   355.1.0        
  24.2  OUT    19 91 45 7f                                         ..E.                   356.1.0        
  24.2  OUT    19 91 40 7f                                         ..@.                   357.1.0        
  24.2  OUT    19 91 39 75                                         ..9u                   358.1.0        
  24.2  OUT    19 92 4e 68                                         ..Nh                   359.1.0        
  24.2  OUT    19 90 2d 00                                         ..-.                   360.1.0        
  24.2  OUT    19 90 34 7a                                         ..4z                   361.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   362.1.0        
  24.2  OUT    19 90 45 7f                                         ..E.                   363.1.0        
  24.2  OUT    19 90 49 7a                                         ..Iz                   364.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   365.1.0        
  24.2  OUT    19 90 45 00                                         ..E.                   366.1.0        
  24.2  OUT    19 92 4e 00                                         ..N.                   367.1.0        
  24.2  OUT    19 90 34 7a                                         ..4z                   368.1.0        
  24.2  OUT    19 92 4c 71                                         ..Lq                   369.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   370.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   371.1.0        
  24.2  OUT    19 92 49 64                                         ..Id                   372.1.0        
  24.2  OUT    19 90 34 7f                                         ..4.                   373.1.0        
  24.2  OUT    19 91 39 00                                         ..9.                   374.1.0        
  24.2  OUT    19 91 45 00                                         ..E.                   375.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   376.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   377.1.0        
  24.2  OUT    19 90 45 7a                                         ..Ez                   378.1.0        
  24.2  OUT    19 90 49 7f                                         ..I.                   379.1.0        
